M;47;1,5;36,19;34,42
M;47;1,6;37,03;34,98
M;47;1,7;37,88;35,55
M;47;1,8;38,75;36,13
M;47;1,9;39,65;36,71
M;47;2;40,56;37,31
M;47;2,1;41,5;37,92
M;47;2,2;42,45;38,53
M;47;2,3;43,43;39,16
M;48;1,5;36,3;34,56
M;48;1,6;37,13;35,12
M;48;1,7;37,99;35,69
M;48;1,8;38,86;36,27
M;48;1,9;39,76;36,86
M;48;2;40,68;37,46
M;48;2,1;41,62;38,07
M;48;2,2;42,57;38,69
M;48;2,3;43,56;39,31
M;49;1,5;36,4;34,69
M;49;1,6;37,24;35,26
M;49;1,7;38,1;35,83
M;49;1,8;38,97;36,41
M;49;1,9;39,87;37
M;49;2;40,79;37,6
M;49;2,1;41,73;38,21
M;49;2,2;42,69;38,84
M;49;2,3;43,68;39,47
M;50;1,5;36,5;34,82
M;50;1,6;37,34;35,39
M;50;1,7;38,2;35,97
M;50;1,8;39,08;36,55
M;50;1,9;39,98;37,14
M;50;2;40,9;37,75
M;50;2,1;41,85;38,36
M;50;2,2;42,81;38,98
M;50;2,3;43,8;39,62
M;51;1,5;36,6;34,95
M;51;1,6;37,44;35,52
M;51;1,7;38,3;36,1
M;51;1,8;39,19;36,69
M;51;1,9;40,09;37,28
M;51;2;41,01;37,89
M;51;2,1;41,96;38,5
M;51;2,2;42,93;39,13
M;51;2,3;43,92;39,76
M;52;1,5;36,69;35,08
M;52;1,6;37,54;35,65
M;52;1,7;38,4;36,23
M;52;1,8;39,29;36,82
M;52;1,9;40,2;37,42
M;52;2;41,12;38,03
M;52;2,1;42,07;38,64
M;52;2,2;43,04;39,27
M;52;2,3;44,03;39,91
M;53;1,5;36,79;35,21
M;53;1,6;37,64;35,78
M;53;1,7;38,5;36,36
M;53;1,8;39,39;36,95
M;53;1,9;40,3;37,55
M;53;2;41,23;38,16
M;53;2,1;42,18;38,78
M;53;2,2;43,15;39,41
M;53;2,3;44,15;40,05
M;54;1,5;36,88;35,33
M;54;1,6;37,73;35,91
M;54;1,7;38,6;36,49
M;54;1,8;39,49;37,08
M;54;1,9;40,4;37,68
M;54;2;41,33;38,3
M;54;2,1;42,29;38,92
M;54;2,2;43,26;39,55
M;54;2,3;44,26;40,19
M;55;1,5;36,97;35,45
M;55;1,6;37,83;36,03
M;55;1,7;38,7;36,62
M;55;1,8;39,59;37,21
M;55;1,9;40,5;37,82
M;55;2;41,44;38,43
M;55;2,1;42,39;39,05
M;55;2,2;43,37;39,69
M;55;2,3;44,37;40,33
M;56;1,5;37,06;35,57
M;56;1,6;37,92;36,15
M;56;1,7;38,79;36,74
M;56;1,8;39,69;37,34
M;56;1,9;40,6;37,94
M;56;2;41,54;38,56
